9,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
9,"t","Colony Health Stressors with Five or More Colonies – States and United States: July-September 2023"
9,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
9,"h","","","","","","",""
9,"h","","Varroa","Other pests","","","",""
9,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
9,"h","","","","","","",""
9,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
9,"d","Alabama",67.5,35.3,4.1,1.1,4.4,6.4
9,"d","Arizona",26.3,"(Z)",2.7,3.8,18.1,0.7
9,"d","Arkansas",38.6,16.7,3.1,24.3,5.0,4.2
9,"d","California",22.1,2.6,2.3,3.7,4.4,2.3
9,"d","Colorado",45.1,"(Z)",3.1,12.6,12.9,"(Z)"
9,"d","Connecticut",11.0,"(Z)",0.1,"(Z)",0.7,"(Z)"
9,"d","Florida",28.0,16.6,7.2,8.3,10.1,10.1
9,"d","Georgia",34.4,16.0,1.0,6.4,9.7,11.1
9,"d","Idaho",18.3,3.1,4.4,1.7,1.8,1.7
9,"d","",,,,,,
9,"d","Illinois",35.9,12.2,1.2,5.0,2.6,4.7
9,"d","Indiana",40.9,12.1,1.8,8.7,1.8,0.5
9,"d","Iowa",24.4,0.7,"(Z)",14.6,2.0,14.4
9,"d","Kansas",70.8,23.6,0.7,20.3,5.1,1.0
9,"d","Kentucky",35.4,9.6,2.1,7.2,5.0,3.3
9,"d","Louisiana",29.4,20.5,"(Z)",-,5.6,2.0
9,"d","Maine",17.3,"(Z)",-,-,"(Z)",-
9,"d","Maryland",32.9,13.4,-,4.1,4.1,1.6
9,"d","Massachusetts",17.4,3.3,1.8,-,0.7,0.7
9,"d","Michigan",29.0,1.6,0.8,1.7,0.6,3.7
9,"d","",,,,,,
9,"d","Minnesota",29.9,2.5,3.4,12.7,3.3,4.2
9,"d","Mississippi",34.9,2.9,"(Z)",1.3,12.0,1.3
9,"d","Missouri",17.5,3.9,"(Z)",0.8,8.9,2.0
9,"d","Montana",32.4,"(Z)",2.8,1.1,21.1,"(Z)"
9,"d","Nebraska",19.7,"(Z)",-,2.0,1.2,4.2
9,"d","New Jersey",14.1,2.2,"(Z)",-,0.7,1.1
9,"d","New Mexico",23.0,1.5,"(Z)","(Z)",-,0.7
9,"d","New York",24.7,11.9,3.9,6.0,4.6,6.3
9,"d","North Carolina",29.9,6.6,2.8,0.6,2.4,2.2
9,"d","North Dakota",41.1,7.1,3.0,12.4,3.5,"(Z)"
9,"d","",,,,,,
9,"d","Ohio",38.5,7.1,0.6,5.7,4.4,1.8
9,"d","Oklahoma",12.0,-,"(Z)",-,1.8,-
9,"d","Oregon",64.0,21.2,26.6,24.2,26.4,1.2
9,"d","Pennsylvania",19.6,4.0,1.4,2.7,1.3,1.6
9,"d","South Carolina",53.3,24.6,"(Z)",3.4,13.6,1.4
9,"d","South Dakota",26.3,4.0,3.1,8.0,8.1,0.9
9,"d","Tennessee",15.1,3.0,"(Z)",1.7,1.6,2.8
9,"d","Texas",4.5,0.7,-,1.0,3.9,0.7
9,"d","Utah",67.5,26.5,25.1,29.5,1.0,1.2
9,"d","Vermont",25.9,15.1,"(Z)",-,2.0,0.9
9,"d","",,,,,,
9,"d","Virginia",33.5,14.1,"(Z)","(Z)",2.9,2.0
9,"d","Washington",12.0,1.9,1.4,4.7,"(Z)",0.9
9,"d","West Virginia",20.7,6.3,-,1.2,1.7,-
9,"d","Wisconsin",54.9,1.2,0.9,7.4,0.8,2.2
9,"d","Wyoming",10.1,1.3,0.7,0.7,1.1,1.9
9,"d","",,,,,,
9,"d","Other States 4/",30.7,21.8,"(Z)",-,6.5,"(Z)"
9,"d","",,,,,,
9,"d","United States",32.5,7.6,4.0,7.7,6.8,3.5
9,"c",""
9,"f","-  Represents zero."
9,"f","(Z)  Less than half of the unit shown."
9,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
9,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
9,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
9,"f","4/ Includes data for States not published in this table."
