12,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
12,"t","Colony Health Stressors with Five or More Colonies – States and United States: January-March 2024"
12,"t","[Percent of colonies affected by stressors anytime during the quarter. A colony may be affected by multiple stressors during the quarter]"
12,"h","","","","","","",""
12,"h","","Varroa","Other pests","","","",""
12,"h","State","mites","and parasites 1/","Diseases 2/","Pesticides","Other 3/","Unknown"
12,"h","","","","","","",""
12,"u","","(percent)","(percent)","(percent)","(percent)","(percent)","(percent)"
12,"d","Alabama",24.0,18.8,6.3,1.9,2.9,4.5
12,"d","Arizona",15.5,0.5,1.4,0.6,"(Z)",2.4
12,"d","Arkansas",32.0,14.2,0.9,2.0,3.4,4.3
12,"d","California",56.8,24.1,18.2,20.9,17.7,14.8
12,"d","Colorado",5.4,4.3,"(Z)","(Z)",1.8,1.0
12,"d","Connecticut",7.8,0.9,-,"(Z)",-,0.6
12,"d","Florida",28.2,10.5,2.5,9.8,4.2,3.3
12,"d","Georgia",18.5,8.9,0.5,1.1,3.6,5.7
12,"d","Idaho",27.4,5.4,6.0,-,5.7,1.0
12,"d","",,,,,,
12,"d","Illinois",34.6,13.9,2.4,4.6,2.5,11.5
12,"d","Indiana",43.7,3.2,-,-,3.3,"(Z)"
12,"d","Iowa",15.0,0.7,0.7,"(Z)",3.2,1.7
12,"d","Kansas",23.5,2.0,0.7,1.0,15.5,2.7
12,"d","Kentucky",9.0,7.3,4.6,2.8,1.9,5.5
12,"d","Louisiana",11.0,2.8,3.1,3.5,5.5,4.7
12,"d","Maine",21.1,0.9,-,-,0.1,-
12,"d","Maryland",24.7,12.4,"(Z)",-,7.1,-
12,"d","Massachusetts",3.7,0.8,"(Z)",-,0.6,2.6
12,"d","Michigan",4.3,0.6,0.5,1.1,1.0,1.4
12,"d","",,,,,,
12,"d","Minnesota",11.9,"(Z)",1.1,-,2.0,0.5
12,"d","Mississippi",25.0,7.5,3.9,4.1,3.1,7.8
12,"d","Missouri",15.0,2.1,0.6,0.5,7.5,3.5
12,"d","Montana","(Z)",-,-,-,-,-
12,"d","Nebraska",14.8,-,-,-,"(Z)",0.8
12,"d","New Jersey",20.7,3.2,-,-,1.7,4.1
12,"d","New Mexico",91.9,0.5,74.0,-,0.7,"(Z)"
12,"d","New York",21.5,4.8,10.5,1.7,4.8,1.8
12,"d","North Carolina",29.2,1.2,"(Z)",-,1.6,2.5
12,"d","North Dakota",23.6,-,-,-,7.1,3.5
12,"d","",,,,,,
12,"d","Ohio",35.3,9.7,2.1,1.7,5.4,3.1
12,"d","Oklahoma",34.0,18.8,3.3,1.1,1.0,0.9
12,"d","Oregon",24.3,1.5,22.6,22.3,-,"(Z)"
12,"d","Pennsylvania",16.5,2.3,1.9,-,3.2,5.7
12,"d","South Carolina",36.1,7.4,"(Z)",1.8,3.3,3.5
12,"d","South Dakota",42.9,2.7,2.7,"(Z)",-,"(Z)"
12,"d","Tennessee",13.6,5.4,"(Z)",0.7,2.1,10.4
12,"d","Texas",22.2,5.6,0.9,4.5,1.8,2.7
12,"d","Utah",13.2,5.3,6.6,0.7,"(Z)",4.5
12,"d","Vermont",6.8,1.2,"(Z)",0.8,4.0,1.7
12,"d","",,,,,,
12,"d","Virginia",21.0,7.5,1.4,1.1,4.4,3.1
12,"d","Washington",18.4,-,-,-,2.8,8.8
12,"d","West Virginia",12.9,2.4,"(Z)",-,3.9,2.0
12,"d","Wisconsin",11.3,1.7,0.6,"(Z)",1.7,2.7
12,"d","Wyoming",21.0,"(Z)",-,-,20.0,0.9
12,"d","",,,,,,
12,"d","Other States 4/",29.7,22.0,1.1,"(Z)",5.1,"(Z)"
12,"d","",,,,,,
12,"d","United States",43.3,15.0,10.9,12.4,10.6,9.1
12,"c",""
12,"f","-  Represents zero."
12,"f","(Z)  Less than half of the unit shown."
12,"f","1/ Tracheal mites, nosema, hive beetle, wax moths, etc."
12,"f","2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc."
12,"f","3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc."
12,"f","4/ Includes data for States not published in this table."
