1,"t","Honey Bee Colonies: Released August 1, 2024, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2023 and April-June 2023"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",16000,16000,2100,13,4800,4200,26
1,"d","Arizona",34000,34000,8500,25,4900,2400,7
1,"d","Arkansas",22000,24000,11000,46,6500,2200,9
1,"d","California",910000,940000,152000,16,139000,112000,12
1,"d","Colorado",10000,33000,1100,3,4500,1500,5
1,"d","Connecticut",4200,4200,230,5,690,800,19
1,"d","Florida",250000,295000,50000,17,58000,23000,8
1,"d","Georgia",129000,132000,31000,23,25000,45000,34
1,"d","Idaho",82000,132000,7000,5,22000,11000,8
1,"d","",,,,,,,
1,"d","Illinois",9500,9500,530,6,3300,700,7
1,"d","Indiana",9000,10500,320,3,4100,1500,14
1,"d","Iowa",63000,69000,3400,5,11500,2700,4
1,"d","Kansas",2500,3300,760,23,1600,360,11
1,"d","Kentucky",9000,9500,550,6,1000,450,5
1,"d","Louisiana",39000,44000,2700,6,4400,9000,20
1,"d","Maine",7500,15500,1000,6,510,1100,7
1,"d","Maryland",5500,5500,200,4,710,730,13
1,"d","Massachusetts",7500,10500,1500,14,1300,510,5
1,"d","Michigan",46000,85000,4200,5,9500,3700,4
1,"d","",,,,,,,
1,"d","Minnesota",56000,76000,2600,3,12500,1700,2
1,"d","Mississippi",70000,72000,3500,5,12000,8000,11
1,"d","Missouri",9500,10000,390,4,4600,910,9
1,"d","Montana",51000,97000,4500,5,22000,18500,19
1,"d","Nebraska",8000,28000,1200,4,10000,2300,8
1,"d","New Jersey",14000,19500,720,4,1000,520,3
1,"d","New Mexico",4300,4300,230,5,530,250,6
1,"d","New York",31000,60000,1800,3,6500,2100,4
1,"d","North Carolina",28000,28000,2300,8,9000,5500,20
1,"d","North Dakota",62000,410000,23000,6,35000,4200,1
1,"d","",,,,,,,
1,"d","Ohio",18500,19500,1200,6,8000,5000,26
1,"d","Oklahoma",10000,13000,320,2,6000,2900,22
1,"d","Oregon",91000,95000,23000,24,29000,31000,33
1,"d","Pennsylvania",25000,29000,1700,6,8000,2200,8
1,"d","South Carolina",17000,17500,1200,7,2800,2600,15
1,"d","South Dakota",13000,146000,2600,2,11500,26000,18
1,"d","Tennessee",12500,13500,920,7,3900,2500,19
1,"d","Texas",340000,360000,16500,5,85000,119000,33
1,"d","Utah",15500,18500,3700,20,9500,2500,14
1,"d","Vermont",9500,9500,160,2,990,210,2
1,"d","",,,,,,,
1,"d","Virginia",9000,10500,670,6,4000,1300,12
1,"d","Washington",87000,123000,4400,4,18500,15500,13
1,"d","West Virginia",5500,6500,350,5,1300,1000,15
1,"d","Wisconsin",15500,54000,570,1,5500,1300,2
1,"d","Wyoming",16500,19000,1400,7,5000,2200,12
1,"d","",,,,,,,
1,"d","Other States 5/",31270,32700,1170,4,2920,3600,11
1,"d","",,,,,,,
1,"d","United States",2706270,"(X)",378190,14,618350,485640,18
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
